month,address,is_warning,reason,coords
4,Leikosaarenkuja 1,0,0905,60.2025380 25.1380696
4,Pohjavedenkatu 3,0,0905,60.2053960 25.1390275
4,Pohjavedenkatu 6,0,0905,60.2057211 25.1378885
4,Pohjavedenkatu 3,0,0905,60.2053960 25.1390275
4,Pohjavedenkatu 3,0,0905,60.2053960 25.1390275
4,Havukuja 1,0,1501,62.7767796 22.8558842
4,Iiluodontie 6,0,0400 1501,60.2050575 25.1453867
4,Iiluodontie 6,0,0400 1501,60.2050575 25.1453867
4,Hiekkajaalanranta 5,0,2705,60.1998618 25.1431799
4,Kalkkihiekantie 3,0,1502,60.2013023 25.1419897
4,Havukuja 2,0,1501,62.5783677 29.7923041
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Kaivonkatsojanpuisto 0,0,0400,
4,Kalkkihiekantie 3,0,1505,60.2013023 25.1419897
4,Vedenottamontie 12,0,0400,60.2032491 25.1395408
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Pohjavedenkuja 5,0,0401,60.2048878 25.1385844
4,Leikosaarentie 15,0,0400,60.2030630 25.1426699
4,Leikosaarenkuja 2,0,0905,60.2025833 25.1384186
4,Leikosaarenkuja 2,0,0905,60.2025833 25.1384186
4,Leikosaarenkuja 2,0,0905,60.2025833 25.1384186
4,Leikosaarenkuja 7,0,1500,60.2024183 25.1381411
4,Leikosaarenkuja 7,0,0905,60.2024183 25.1381411
4,Leikosaarenkuja 7,0,1500,60.2024183 25.1381411
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
4,Hiekkajaalanranta 5,0,0905,60.1998618 25.1431799
4,Iiluodontie 6,0,1504,60.2050575 25.1453867
4,Vedenottamontie 12,0,0400,60.2032491 25.1395408
4,Pohjavedenportti 2,0,0905,60.2063098 25.1376711
4,Pohjavedenportti 2,0,0905,60.2063098 25.1376711
4,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Vedenottamontie 9,0,0401,60.2039108 25.1388194
3,Vedenottamontie 10,0,0400,60.2036026 25.1393550
3,Pohjavedenkuja 5,0,0400,60.2048878 25.1385844
3,Pohjavedenkuja 5,0,0401,60.2048878 25.1385844
3,Iiluodontie 6,0,1501,60.2050575 25.1453867
3,Iiluodontie 6,0,1501,60.2050575 25.1453867
3,Havukuja 2,0,1501,62.5783677 29.7923041
3,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Pohjavedenkatu 4,0,0401 2200,60.2056319 25.1367719
3,Pohjavedenkatu 8,0,1504 2200,60.2058297 25.1385865
3,Pohjavedenkatu 12,0,0401,60.2059194 25.1391806
3,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Iiluodontie 6,0,1504,60.2050575 25.1453867
3,Iiluodontie 6,0,1504,60.2050575 25.1453867
3,Iiluodontie 6,1,1504,60.2050575 25.1453867
3,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Vedenottamontie 12,0,0400,60.2032491 25.1395408
3,Vedenottamontie 10,0,0401,60.2036026 25.1393550
3,Hiekkajaalanranta 5,0,2705,60.1998618 25.1431799
3,Havukuja 2,0,1501,62.5783677 29.7923041
3,Hiekkalaiturintie 17,0,0905,60.2006558 25.1451106
3,Hiekkalaiturintie 17,0,0905,60.2006558 25.1451106
3,Hiekkalaiturintie 7,0,2301,60.2018743 25.1435306
3,Leikosaarenkuja 2,0,0905,60.2025833 25.1384186
3,Leikosaarenkuja 3,0,0905,60.2022695 25.1382926
3,Hiekkalaiturintie 15,0,0905,60.2007523 25.1449852
3,Hiekkalaiturintie 17,0,0905,60.2006558 25.1451106
3,Mustankivenkatu 2,0,0905,60.2063977 25.1439903
3,Leikosaarentie 24,1,1501,60.2039937 25.1455092
3,Hiekkajaalanranta 5,0,2301,60.1998618 25.1431799
3,Hiekkajaalanranta 5,0,0905,60.1998618 25.1431799
3,Hiekkajaalanranta 5,0,2705,60.1998618 25.1431799
3,Hiekkajaalanranta 5,0,2705,60.1998618 25.1431799
3,Vedenottamontie 8,0,0401,60.2039558 25.1391689
3,Vedenottamontie 12,0,0400,60.2032491 25.1395408
3,Pohjavedenkatu 2,0,0401,60.2056034 25.1359552
3,Pohjavedenkatu 2,0,0400,60.2056034 25.1359552
3,Vedenottamontie 12,0,0401,60.2032491 25.1395408
3,Iiluodontie 6,0,1504,60.2050575 25.1453867
3,Iiluodontie 6,0,1504,60.2050575 25.1453867
3,Iiluodontie 6,0,1504,60.2050575 25.1453867
3,Vedenottamontie 12,0,0400,60.2032491 25.1395408
3,Vedenottamontie 12,0,0400,60.2032491 25.1395408
3,Vedenottamontie 12,0,0400,60.2032491 25.1395408
